categoria,subcategoria,nombre,precio,precio_normal,precio_oferta,precio_referencia,promocion,url,imagen_url
"Lácteos, Huevos y Congelados",Leche,Leche entera natural soprole 6 un de 200 ml,3350,3350,,$2.792 / L,,https://www.unimarc.cl/product/pack-leche-entera-soprole-6-un-de-200-ml,https://unimarc.vtexassets.com/arquivos/ids/213935/000000000000646822-DIS-01.jpg?v=638379123929930000
"Lácteos, Huevos y Congelados",Leche,Leche proteína soprole semidescremada con cacao 1 l,2590,2590,,$2.590 / L,,https://www.unimarc.cl/product/leche-choco-alta-proteina-soprole-1l,https://unimarc.vtexassets.com/arquivos/ids/223229/000000000000635930-UN-01.jpg?v=637781062445800000
"Lácteos, Huevos y Congelados",Leche,Leche semidescremada colun origen chocolate 1 l,1990,1990,,$1.990 / L,,https://www.unimarc.cl/product/leche-origen-chocolate-colun-1lt-2,https://unimarc.vtexassets.com/arquivos/ids/250326/000000000000679146-UN-01.jpg?v=638895845720900000
"Lácteos, Huevos y Congelados",Leche,Leche en polvo calo entera instantánea bolsa 850 g,6950,6950,,$8.176 / kg,,https://www.unimarc.cl/product/leche-polvo-inst-26-mg-calo-sb-900-gr,https://unimarc.vtexassets.com/arquivos/ids/227454/000000000000169937-UN-01.jpg?v=637908280565300000
"Lácteos, Huevos y Congelados",Leche,Yoghurt sin lactosa loncoleche trozos berries 140 g,650,650,,$4.643 / kg,,https://www.unimarc.cl/product/yog-s-lact-trozos-lonco-140g-berries,https://unimarc.vtexassets.com/arquivos/ids/235234/000000000665904003-UN-01.jpg?v=638315321208300000
"Lácteos, Huevos y Congelados",Leche,Pack jalea loncoleche protein guinda 4 un de 100 g,2950,2950,,$7.375 / kg,,https://www.unimarc.cl/product/pack-jalea-protein-lonco-4x100gr-guinda,https://unimarc.vtexassets.com/arquivos/ids/246361/000000000673900001-DIS-01.jpg?v=638726399793500000
"Lácteos, Huevos y Congelados",Leche,Yoghurt sin lactosa loncoleche trozos durazno 140 g,650,650,,$4.643 / kg,,https://www.unimarc.cl/product/yog-s-lact-trozos-lonco-140g-durazno,https://unimarc.vtexassets.com/arquivos/ids/235232/000000000665904002-UN-01.jpg?v=638321946582900000
"Lácteos, Huevos y Congelados",Leche,Leche en polvo soprole entera instantánea 800 g,6990,6990,,$8.738 / kg,,https://www.unimarc.cl/product/leche-entera-en-polvo-inst-soprole-800gr,https://unimarc.vtexassets.com/arquivos/ids/245346/000000000000672452-UN-01.jpg?v=638670370443700000
"Lácteos, Huevos y Congelados",Leche,Leche descremada sin lactosa surlat 1 l,1450,1450,,$1.450 / L,,https://www.unimarc.cl/product/leche-s-lactosa-descremada-surlat-1-lt-3,https://unimarc.vtexassets.com/arquivos/ids/237915/000000000000579800-UN-01.jpg?v=638442892175400000
"Lácteos, Huevos y Congelados",Leche,Leche semidescremada colun sabor frutilla sin tapa 1 l,1850,1850,,$1.850 / L,,https://www.unimarc.cl/product/leche-semidescremada-frutilla-colun-1lt,https://unimarc.vtexassets.com/arquivos/ids/236160/000000000000614051-UN-01.jpg?v=638338623269470000
"Lácteos, Huevos y Congelados",Leche,Leche sin lactosa light colun sabor café cappuccino 330 ml,1090,1090,,$3.303 / L,,https://www.unimarc.cl/product/leche-c-cafe-light-colun-330-capuccino,https://unimarc.vtexassets.com/arquivos/ids/200265/000000000631925001-UN-01.jpg?v=637328010177500000
