categoria,subcategoria,nombre,precio,precio_normal,precio_oferta,precio_referencia,promocion,url,imagen_url
"Lacteos, Huevos y Congelados",Leche,Leche Sin Lactosa Proteinas Sabor Chocolate 1 L Surlat,2550,2550,,,,https://super.lider.cl/ip/leche/leche-sin-lactosa-proteinas-sabor-chocolate/00780870950386?channable=06660b6964003030373830383730393530333836fb,https://i5.walmartimages.cl/asr/268d8e9d-13f8-4c66-bef7-e700cbcefcdf.1ab389ee9ec6ff53abb684dcacd668d9.jpeg
"Lacteos, Huevos y Congelados",Leche,Leche Descremada Sin Lactosa Proteína Chocolate Caja 200 ml Surlat,650,650,,,,https://super.lider.cl/ip/leche/leche-descremada-sin-lactosa-proteina-chocolate-caja/00780870950442?channable=06660b6964003030373830383730393530343432b5,https://i5.walmartimages.cl/asr/f4164864-8308-429b-aafd-b7d295dcc8a7.8050d7d077ee37666e2740b124fea98f.jpeg
"Lacteos, Huevos y Congelados",Leche,Leche Cultivada Next Sabor Frutilla Botella 1 L Soprole,2290,2290,,,,https://super.lider.cl/ip/leche/leche-cultivada-next-sabor-frutilla-botella/00780290034502?channable=06660b696400303037383032393030333435303282,https://i5.walmartimages.cl/asr/18dee841-93f6-4a41-8911-97e2cd593bdc.d7f4975901ce4b2cc39fc6c21758cf30.jpeg?null
"Lacteos, Huevos y Congelados",Leche,Leche Cultivada Light Sabor Frambuesa Botella. 1 L Next,2290,2290,,,,https://super.lider.cl/ip/leche/leche-cultivada-light-sabor-frambuesa-botella/00780290034508?channable=06660b696400303037383032393030333435303888,https://i5.walmartimages.cl/asr/b09bd701-8d76-49a6-8a96-31478c46c8bf.b607d6d66c1ffd6373c569f39a425e25.jpeg?null
"Lacteos, Huevos y Congelados",Leche,Leche Cultivada Light Sabor Vainilla Botella 900 g Loncoleche,2590,2590,,,,https://super.lider.cl/ip/leche/leche-cultivada-light-sabor-vainilla-botella/00780291000095?channable=06660b6964003030373830323931303030303935d3,https://i5.walmartimages.cl/asr/49177a1c-5536-4dda-aca7-e7b23e777f43.1e6dd59d9ee4fc65d9cbe2449b3d1156.jpeg?null
"Lacteos, Huevos y Congelados",Leche,Leche Protein Milk Sin Lactosa Cappuccino 200 ml Loncoleche,550,550,,,,https://super.lider.cl/ip/leche/leche-protein-milk-sin-lactosa-cappuccino/00780291000805?channable=06660b696400303037383032393130303038303551,https://i5.walmartimages.cl/asr/3698f701-53e0-4a2d-bf32-dfc658a38e30.da3b7a319b3dea2de68a6e24a5313a44.jpeg
"Lacteos, Huevos y Congelados",Leche,Leche Entera 1 L Surlat,1090,1090,,,,https://super.lider.cl/ip/leche/leche-entera/00780461747028?channable=06660b6964003030373830343631373437303238f0,https://i5.walmartimages.cl/asr/7c6c8fc8-e05c-41ea-b73f-fb2fd5d6b932.e374804a9aa99df7a06d89eae4309713.jpeg
"Lacteos, Huevos y Congelados",Leche,Leche Descremada 1 L Surlat,1090,1090,,,,https://super.lider.cl/ip/leche/leche-descremada/00780461747030?channable=06660b696400303037383034363137343730333069,https://i5.walmartimages.cl/asr/dbe1c6e8-9479-4bc3-aa94-b81529bb2fe1.049e8cc9a5d6495dc3e2373074fab508.jpeg?null
"Lacteos, Huevos y Congelados",Leche,Leche Natural Entera Caja 1 L Lider,1000,1000,,,,https://super.lider.cl/ip/leche/leche-natural-entera-caja/00040000720074?channable=06660b696400303030343030303037323030373460,https://i5.walmartimages.cl/asr/8e0c4767-58c6-46af-8837-b3a8a71a5790.1e4679549e4749147a4ca3b2e9fb5c02.jpeg
"Lacteos, Huevos y Congelados",Leche,Leche Break Semidescremada Sin Lactosa Sabor Cappuccino Caja 1 L Loncoleche,2290,2290,,,,https://super.lider.cl/ip/leche/leche-break-semidescremada-sin-lactosa-sabor-cappuccino-caja/00780291000665?channable=06660b6964003030373830323931303030363635d3,https://i5.walmartimages.cl/asr/dca278cb-5b04-4d9c-9a97-3c9326183505.f163346d5fe906ec53530cc9861fd1f9.jpeg?null
"Lacteos, Huevos y Congelados",Leche,Leche Semidescremada Frutilla Caja 200 ml Colun,620,620,,,,https://super.lider.cl/ip/leche/leche-semidescremada-frutilla-caja/00780292075913?channable=06660b69640030303738303239323037353931336d,https://i5.walmartimages.cl/asr/ccd04dc1-7980-4982-8073-2565bd53c6ca.502a995a61cfa267a82810bf8e527aed.jpeg?null
"Lacteos, Huevos y Congelados",Leche,Bebida Leche Láctea Yogu Yogu Chirimoya Caja,610,610,,,,https://super.lider.cl/ip/leche/bebida-leche-lactea-yogu-yogu-chirimoya-caja/00780291030620?channable=06660b6964003030373830323931303330363230bc,https://i5.walmartimages.cl/asr/4f1fc5b2-95e9-475e-a7d6-20819451b6b9.4f23927af24ac782b56b3f38760b6209.jpeg
"Lacteos, Huevos y Congelados",Leche,Saborizante De Leche Chocolate 400 g Nestlé,7890,7890,,,,https://super.lider.cl/ip/leche/saborizante-de-leche-chocolate/00761303121586?channable=06660b696400303037363133303331323135383604,https://i5.walmartimages.cl/asr/e39bc99c-eec1-4e87-9161-b9df85d172c6.fff85193dade87c09d5389c58008f02d.jpeg?null
"Lacteos, Huevos y Congelados",Leche,Saborizante De Leche Chocolate 350 g Trencito,3190,3190,,,,https://super.lider.cl/ip/leche/saborizante-de-leche-chocolate/00761303948710?channable=06660b6964003030373631333033393438373130bc,https://i5.walmartimages.cl/asr/5b6e61a2-9b10-4612-afde-40413c1bae42.7f7e3fc3a5721a81203ac4aaa6b39a5f.jpeg?null
"Lacteos, Huevos y Congelados",Leche,Leche Semidescremada En Polvo 700 g Soprole,6390,6390,,,,https://super.lider.cl/ip/leche/leche-semidescremada-en-polvo/00780290000429?channable=06660b696400303037383032393030303034323959,https://i5.walmartimages.cl/asr/85d77f41-0147-43e3-8302-ae5c550705ed.c5ccce120b83694283a638eaddad24ce.jpeg?null
"Lacteos, Huevos y Congelados",Leche,Leche Entera En Polvo 800 g Soprole,6890,6890,,,,https://super.lider.cl/ip/leche/leche-entera-en-polvo/00780290000430?channable=06660b6964003030373830323930303030343330d0,https://i5.walmartimages.cl/asr/710fcc7a-9369-47bb-a0dc-afd0ae717e0f.b5823b39fc79f1bf1f1a31828bbd0fbb.jpeg?null
"Lacteos, Huevos y Congelados",Leche,Leche Semidescremada Vainilla Caja 200 ml Colun,620,620,,,,https://super.lider.cl/ip/leche/leche-semidescremada-vainilla-caja/00780292010610?channable=06660b6964003030373830323932303130363130a8,https://i5.walmartimages.cl/asr/2bea5a79-9cbc-4816-8838-3c5e16f762f8.0648e2a9eb8a34510b471da23e49ae00.jpeg?null
"Lacteos, Huevos y Congelados",Leche,Saborizante Para Leche Chocolate Tradicional 620 g Milo,6790,6790,,,,https://super.lider.cl/ip/leche/saborizante-para-leche-chocolate-tradicional/00844529161873?channable=06660b696400303038343435323931363138373341,https://i5.walmartimages.cl/asr/1f854f39-082a-47a9-ad23-3c07dec48a7b.a3cd850b9aeaae2b525b2c781df9c844.jpeg?null
"Lacteos, Huevos y Congelados",Leche,Leche Larga Vida Chocolate Caja 200 g Colun,620,620,,,,https://super.lider.cl/ip/leche/leche-larga-vida-chocolate-caja/00780292077721?channable=06660b6964003030373830323932303737373231ab,https://i5.walmartimages.cl/asr/6eb4db1b-fc1a-42b5-980e-74dcaea6a884.5891116739a660f55fc920538b85355f.jpeg?null
"Lacteos, Huevos y Congelados",Leche,Leche En Polvo Entera Instantánea 1350g Nido,15290,15290,,,,https://super.lider.cl/ip/leche/leche-en-polvo-entera-instantanea/00844529026238?channable=06660b69640030303834343532393032363233383b,https://i5.walmartimages.cl/asr/7702b814-0e00-45be-8976-f8085a5ef56a.c88c22103f7fdae1e8ee196b04aa2d69.jpeg
"Lacteos, Huevos y Congelados",Leche,Leche Proteína Natural 1 L Surlat,2450,2450,,,,https://super.lider.cl/ip/leche/leche-proteina-natural/00780870950534?channable=06660b6964003030373830383730393530353334f7,https://i5.walmartimages.cl/asr/3ada9b5d-4cfa-416c-af33-5406cecf3261.2fe8e41b0fef3e87f183932fcf2b03e6.jpeg
"Lacteos, Huevos y Congelados",Leche,Leche Semidescremada Con Avena Sabor Chocolate Caja 1 Soprole,1450,1450,,,,https://super.lider.cl/ip/leche/leche-semidescremada-con-avena-sabor-chocolate-caja/00780290000435?channable=06660b6964003030373830323930303030343335d5,https://i5.walmartimages.cl/asr/0a585ef4-2dba-423e-8f1f-9eea03d25b63.bb6ed5767bf35698b16a1bcb6969252f.jpeg?null
"Lacteos, Huevos y Congelados",Leche,Saborizante De Leche Cola Cao Tradicional,6150,6150,,,,https://super.lider.cl/ip/leche/saborizante-de-leche-cola-cao-tradicional/00780263500108?channable=06660b69640030303738303236333530303130380c,https://i5.walmartimages.cl/asr/87372729-9129-4148-80f7-05fa64943ea1.f374bfe31440b59f4580f1bf199362b5.jpeg?null
"Lacteos, Huevos y Congelados",Leche,Saborizante De Leche Chocolate Activgo Bolsa 300 g Nestle,3590,3590,,,,https://super.lider.cl/ip/leche/saborizante-de-leche-chocolate-activgo-bolsa/00761303012104?channable=06660b696400303037363133303330313231303425,https://i5.walmartimages.cl/asr/7b6cd2fe-7317-4bef-8ded-1e4eaf243ff4.681ad06ce921a2739cab6392c4c82a22.jpeg?null
"Lacteos, Huevos y Congelados",Leche,Leche Con Chocolate Protein Up 330 ml Milo,1590,1590,,,,https://super.lider.cl/ip/leche/leche-con-chocolate-protein-up/00761328750639?channable=06660b6964003030373631333238373530363339bd,https://i5.walmartimages.cl/asr/2017be1a-6a85-4d42-8f3a-38d151f8caaf.ab6a94efd713edcec1a143b716255be9.jpeg?null
