categoria,subcategoria,nombre,marca,tipo,formato,precio,precio_normal,precio_oferta,precio_referencia,promocion,supermercado,url,imagen_url,producto_base
"Lacteos, Huevos y Congelados",Leche,Leche Cultivada Light Sabor Vainilla Botella 900 g Loncoleche,Loncoleche,light,900 g,2590,2590,,,,Líder,https://super.lider.cl/ip/leche/leche-cultivada-light-sabor-vainilla-botella/00780291000095?channable=06660b6964003030373830323931303030303935d3,https://i5.walmartimages.cl/asr/49177a1c-5536-4dda-aca7-e7b23e777f43.1e6dd59d9ee4fc65d9cbe2449b3d1156.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Leche Natural Entera Caja. 1 L Lider,Lider,entera,1 L,1090,1090,,,,Líder,https://super.lider.cl/ip/leche/leche-natural-entera-caja/00040000720074?channable=06660b696400303030343030303037323030373460,https://i5.walmartimages.cl/asr/8e0c4767-58c6-46af-8837-b3a8a71a5790.1e4679549e4749147a4ca3b2e9fb5c02.jpeg,
"Lacteos, Huevos y Congelados",Leche,Leche Descremada Sin Lactosa Proteína Chocolate Caja 200 ml Surlat,Surlat,sin lactosa,200 mL,650,650,,,,Líder,https://super.lider.cl/ip/leche/leche-descremada-sin-lactosa-proteina-chocolate-caja/00780870950442?channable=06660b6964003030373830383730393530343432b5,https://i5.walmartimages.cl/asr/f4164864-8308-429b-aafd-b7d295dcc8a7.8050d7d077ee37666e2740b124fea98f.jpeg,
"Lacteos, Huevos y Congelados",Leche,Leche Sin Lactosa Proteinas Sabor Chocolate 1 L Surlat,Surlat,sin lactosa,1 L,2000,2000,,,,Líder,https://super.lider.cl/ip/leche/leche-sin-lactosa-proteinas-sabor-chocolate/00780870950386?channable=06660b6964003030373830383730393530333836fb,https://i5.walmartimages.cl/asr/268d8e9d-13f8-4c66-bef7-e700cbcefcdf.1ab389ee9ec6ff53abb684dcacd668d9.jpeg,
"Lacteos, Huevos y Congelados",Leche,Leche En Polvo Entera Bolsa 800 g Lider,Lider,entera,800 g,6190,6190,,,,Líder,https://super.lider.cl/ip/leche/leche-en-polvo-entera-bolsa/00780460062555?channable=06660b6964003030373830343630303632353535fb,https://i5.walmartimages.cl/asr/76975eb4-cb71-442a-88d8-5a2603038491.0702c7d6629148300e6549bbb80bca06.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Leche Semidescremada En Polvo 700 g Soprole,Soprole,semidescremada,700 g,6390,6390,,,,Líder,https://super.lider.cl/ip/leche/leche-semidescremada-en-polvo/00780290000429?channable=06660b696400303037383032393030303034323959,https://i5.walmartimages.cl/asr/85d77f41-0147-43e3-8302-ae5c550705ed.c5ccce120b83694283a638eaddad24ce.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Leche Semidescremada Vainilla 200 ml Loncoleche,Loncoleche,semidescremada,200 mL,570,570,,,,Líder,https://super.lider.cl/ip/leche/leche-semidescremada-vainilla/00780291000054?channable=06660b6964003030373830323931303030303534d0,https://i5.walmartimages.cl/asr/8b6fd523-b141-4fac-b2d9-51daec22ba1b.3d0f8ec11e916848a18bda018e7d8a2c.jpeg,
"Lacteos, Huevos y Congelados",Leche,Leche En Polvo Entera Bolsa 850 g Calo,Calo,entera,850 g,6390,6390,,,,Líder,https://super.lider.cl/ip/leche/leche-en-polvo-entera-bolsa/00780291000224?channable=06660b6964003030373830323931303030323234cf,https://i5.walmartimages.cl/asr/a7a0f483-8f1f-443e-88ca-be7505b2e49e.b432605a558686d958f8a53e7755a3d5.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Leche Manzana-avena 330 ml Colun,Colun,general,330 mL,1250,1250,,,,Líder,https://super.lider.cl/ip/leche/leche-manzana-avena/00780292001122?channable=06660b6964003030373830323932303031313232d9,https://i5.walmartimages.cl/asr/866e5506-664c-4d02-ac2c-d64a60eac77c.5483b101aeda855e3ab168876d7466f8.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Leche Semidescremada Vainilla Caja 200 ml Colun,Colun,semidescremada,200 mL,620,620,,,,Líder,https://super.lider.cl/ip/leche/leche-semidescremada-vainilla-caja/00780292010610?channable=06660b6964003030373830323932303130363130a8,https://i5.walmartimages.cl/asr/2bea5a79-9cbc-4816-8838-3c5e16f762f8.0648e2a9eb8a34510b471da23e49ae00.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Leche Semidescremada Frutilla Caja 200 ml Colun,Colun,semidescremada,200 mL,620,620,,,,Líder,https://super.lider.cl/ip/leche/leche-semidescremada-frutilla-caja/00780292075913?channable=06660b69640030303738303239323037353931336d,https://i5.walmartimages.cl/asr/ccd04dc1-7980-4982-8073-2565bd53c6ca.502a995a61cfa267a82810bf8e527aed.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Leche Break Semidescremada Sin Lactosa Sabor Cappuccino Caja 1 L Loncoleche,Loncoleche,sin lactosa,1 L,2290,2290,,,,Líder,https://super.lider.cl/ip/leche/leche-break-semidescremada-sin-lactosa-sabor-cappuccino-caja/00780291000665?channable=06660b6964003030373830323931303030363635d3,https://i5.walmartimages.cl/asr/dca278cb-5b04-4d9c-9a97-3c9326183505.f163346d5fe906ec53530cc9861fd1f9.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Saborizante De Leche Chocolate 700 g Nesquik,Nesquik,general,700 g,4090,4090,,,,Líder,https://super.lider.cl/ip/leche/saborizante-de-leche-chocolate/00761303689260?channable=06660b6964003030373631333033363839323630e6,https://i5.walmartimages.cl/asr/680e4470-569e-487e-b6f7-992d94410626.3597b1429a6eda46a8250b5c1df0fd5f.jpeg,
