duplicado_con_ids,formato,marca,nombre,producto_base,producto_id,supermercados
20788;30619,1 L,Sin marca,Bebida Isotónica Gatorade Limón 1 L,bebida_isotonica_gatorade_limon_sin_marca,20788,
20788;30619,1 L,Sin marca,Bebida isotónica gatorade limón 1 l,bebida_isotonica_gatorade_limon_sin_marca,30619,
20823;30563,2 L,Coca Cola,Bebida Coca Cola retornable 2 L + Envase,bebida_retornable_envase_coca_cola_general,20823,
20823;30563,2 L,Coca Cola,Bebida coca cola retornable 2 l + envase,bebida_retornable_envase_coca_cola_general,30563,
20827;30623,1.1 L,Sin marca,Bebida Isotónica Powerade Rojo 1.1 L,bebida_isotonica_powerade_rojo_sin_marca,20827,
20827;30623,1.1 L,Sin marca,Bebida isotónica powerade rojo 1.1 l,bebida_isotonica_powerade_rojo_sin_marca,30623,
20864;30609,1.1 L,Sin marca,Bebida Isotónica Powerade Frozen Blast 1.1 L,bebida_isotonica_powerade_frozen_blast_sin,20864,
20864;30609,1.1 L,Sin marca,Bebida isotónica powerade frozen blast 1.1 l,bebida_isotonica_powerade_frozen_blast_sin,30609,
20873;30624,630 mL,Sin marca,Bebida Isotónica Suerox Naranja 630 ml,bebida_isotonica_suerox_naranja_sin_marca,20873,
20873;30624,630 mL,Sin marca,Bebida isotónica suerox naranja 630 ml,bebida_isotonica_suerox_naranja_sin_marca,30624,
20887;30627,630 mL,Sin marca,Bebida Isotónica Suerox Frutilla Kiwi 630 ml,bebida_isotonica_suerox_frutilla_kiwi_sin,20887,
20887;30627,630 mL,Sin marca,Bebida isotónica suerox frutilla kiwi 630 ml,bebida_isotonica_suerox_frutilla_kiwi_sin,30627,
21022;30645,200 mL,Sin marca,Bebida Britvic Ginger Beer 200 ml,bebida_britvic_ginger_beer_sin_marca,21022,
21022;30645,200 mL,Sin marca,Bebida britvic ginger beer 200 ml,bebida_britvic_ginger_beer_sin_marca,30645,
24555;30827,580 g,Sin marca,Pan Molde Ideal Cero Cero Blanco 580 g,pan_molde_ideal_cero_blanco_sin,24555,
24555;30827,580 g,Sin marca,Pan molde ideal cero cero blanco 580 g,pan_molde_ideal_cero_blanco_sin,30827,
24670;30922,400 g,Sin marca,Pan Molde Castaño Blanco 400 g,pan_molde_castano_blanco_sin_marca,24670,
24670;30922,400 g,Sin marca,Pan molde castaño blanco 400 g,pan_molde_castano_blanco_sin_marca,30922,
24702;30873,100 g,Sin marca,Pan Francés Schar Sin Gluten 100 g,pan_frances_schar_gluten_sin_marca,24702,
24702;30873,100 g,Sin marca,Pan francés schar sin gluten 100 g,pan_frances_schar_gluten_sin_marca,30873,
24743;30941,450 g,Sin marca,Pan Molde La Selecta Miga Blanco 450 g,pan_molde_selecta_miga_blanco_sin,24743,
24743;30941,450 g,Sin marca,Pan molde la selecta miga blanco 450 g,pan_molde_selecta_miga_blanco_sin,30941,
24967;30969,3 L,Omo,Detergente Líquido Omo Piel Sensible Doypack 3 L,detergente_piel_sensible_doypack_omo_liquido,24967,
24967;30969,3 L,Omo,Detergente líquido omo piel sensible doypack 3 l,detergente_piel_sensible_doypack_omo_liquido,30969,
25033;30971,800 mL,Omo,Detergente Líquido Omo Piel Sensible Doypack 800 ml,detergente_piel_sensible_doypack_omo_liquido,25033,
25033;30971,800 mL,Omo,Detergente líquido omo piel sensible doypack 800 ml,detergente_piel_sensible_doypack_omo_liquido,30971,
25982;31049,1.8 L,Sin marca,Suavizante Downy Adorable 450 ml Rinde 1.8 L,suavizante_downy_adorable_450ml_rinde_sin,25982,
25982;31049,1.8 L,Sin marca,Suavizante downy adorable 450 ml rinde 1.8 l,suavizante_downy_adorable_450ml_rinde_sin,31049,
26005;31056,141 g,Sin marca,Perlas de Perfume Downy April Fresh 141 g,perlas_perfume_downy_april_fresh_sin,26005,
26005;31056,141 g,Sin marca,Perlas de perfume downy april fresh 141 g,perlas_perfume_downy_april_fresh_sin,31056,
26024;31061,500 mL,Sin marca,Apresto Planchado Fácil Klären Gatillo 500 ml,apresto_planchado_facil_klaren_gatillo_sin,26024,
26024;31061,500 mL,Sin marca,Apresto planchado fácil klaren gatillo 500 ml,apresto_planchado_facil_klaren_gatillo_sin,31061,
