sup,nombre,categoria,subcategoria,reason,conf
Jumbo,Pack Rutina Nivea Rose Care Agua Micelar Bifásica 400 ml + Crema Hidratante en Gel 50 ml + Mist Refrescante 150 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Tónico Diario Q+A Niacinamida 100 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Pack Rutina Nivea Cellular Expert Filler Crema de Día 50 ml + Serum Rellenador 30 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Pack Umai: Shampoo 200 ml + Acondicionador 200 ml + Crema 200 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Pack Cuidado Facial Nivea Q10 Crema 50 ml + Sérum 30 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Pack 2 un. Cremas Corporales Nivea Q10 400 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Multipropósito Nivea Creme Humectante con Vitamina E 250 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Limpiador Gel Q+A Acido Hialurónico 125 ml,"Lacteos, Huevos y Congelados",Crema,limpieza_fuera_de_limpieza,Alta
Jumbo,Desodorante Crema Rexona Extra Dry 48 g,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Shampoo para Barba Gillette King C 241 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Gel de Afeitar Nivea Men Deep 200 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Espuma de Afeitar Nivea Men Sensitive 200 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Gel de Afeitar Nivea Men Sensitive 200 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Multipropósito Nivea Creme Humectante con Vitamina E 60 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Pack 2 un. Crema Corporal Nivea Q10 Reafirmante 800 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema de Tratamiento Dove Reparación UV 250 g,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Espuma de Afeitar Nivea Men Protect & Care 200 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Fluido Facial Anti-Manchas Nivea Luminous 630 Claro 40 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Jabón Facial Hidratante Dove Men +Care 141 g,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Sérum Facial Nivea Luminous 630 Anti Imperfecciones 30 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Jabón Crema Ballerina Piel Sensible 350 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Sérum Facial Nivea Luminous 630 Anti-Edad 30 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Fluido Facial Anti-Manchas Nivea Luminous 630 Medio 40 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Jabón Crema Simond's Clásico Doypack 500 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Jabón Crema Simond's Humectante Ph5.5 Se 500 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Jabón Crema Simond's Humectante Ph5.5 500 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Desodorante Crema Rexona Classic 48 g,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Desodorante Crema Dove Clinical Tono 58 g,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Bálsamo After Shave Nivea Men Sensitive 100 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Flow Pack Nivea Jabón Creme Care 125 g 3 un.,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Jabón Líquido Ballerina Crema Karité 750 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Jabón Crema Ballerina Karité 350 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema de Tratamiento Dove Reconstrucción + Aminoácidos 300 g,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Limpiador Facial Bull Dog Original 150 ml,"Lacteos, Huevos y Congelados",Crema,limpieza_fuera_de_limpieza,Alta
Jumbo,Shampoo de Barba Bull Dog 200 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Desodorante Crema Rexona Clean 48 g,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Acondicionador Barba Bull Dog Original 75 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Desodorante Crema Rexona Extra Dry y Classic 48 g 2 un.,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Sérum Facial Suavizante Vitamins & Sea Beauty Niacinamida 60 ml,"Lacteos, Huevos y Congelados",Crema,limpieza_fuera_de_limpieza,Alta
Jumbo,Jabón Crema Ballerina Piel Sensible 800 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Desodorante Crema Etiquet Women Antitranspirante 100 g,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Desodorante para Pies Lady Brooks Spray Silver 100 g,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Pack Dove Regeneración Extrema: Shampoo 400 ml + Acondicionador 400 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Desodorante Antitranspirante Dove Clinical Soft Original 58 g,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Desodorante Crema Rexona Clean Scent 48 g,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Desodorante Crema Rexona Stress Control 48 g,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
