cantidad_productos,formatos,marcas,motivos,muestra_nombres,producto_base,productos_ids
2,0.2kg;0.32kg,sin marca,formatos incompatibles,Mermelada En Línea Durazno Sin Azúcar 200 g | Mermelada En Línea Durazno Sin Azúcar 320 g,mermelada_en_linea_durazno_azucar_sin,20390;20426
2,0.2kg;0.4kg,sin marca,formatos incompatibles,Mermelada Aconcagua Manzana Canela 400 g | Mermelada Aconcagua Manzana Canela 200 g,mermelada_aconcagua_manzana_canela_sin_marca,20400;20588
2,0.2kg;0.4kg,sin marca,formatos incompatibles,Mermelada Aconcagua Durazno 400 g | Mermelada Aconcagua Durazno 200 g,mermelada_aconcagua_durazno_sin_marca_general,20409;20586
2,0.2kg;0.4kg,sin marca,formatos incompatibles,Mermelada Aconcagua Membrillo 400 g | Mermelada Aconcagua Membrillo 200 g,mermelada_aconcagua_membrillo_sin_marca_general,20421;20587
2,0.5kg;1kg,sin marca,formatos incompatibles,Dulce de Membrillo Watt's 500 g | Dulce de Membrillo Watt's 1 kg,dulce_membrillo_watt_s_sin_marca,20437;20443
2,0.3kg;0.55kg,sin marca,formatos incompatibles,Miel Pura de Abejas Mailemu Bosque Nativo 550 g | Miel Pura de Abejas Mailemu Bosque Nativo 300 g,miel_pura_abejas_mailemu_bosque_nativo,20467;20509
2,0.5kg;1kg,sin marca,formatos incompatibles,Miel de Abeja San Lorenzo Pote 500 g | Miel de Abeja San Lorenzo Pote 1 kg,miel_abeja_san_lorenzo_pote_sin,20477;20495
2,0.33kg;0.7kg,sin marca,formatos incompatibles,Miel de Palma Cocalan Botella 330 g | Miel de Palma Cocalan Botella 700 g,miel_palma_cocalan_botella_sin_marca,20481;20485
2,0.3kg;0.55kg,sin marca,formatos incompatibles,Miel Pura de Abejas Mailemu Ulmo 300 g | Miel Pura de Abejas Mailemu Ulmo 550 g,miel_pura_abejas_mailemu_ulmo_sin,20482;20511
2,0.25kg;0.5kg,sin marca,formatos incompatibles,Miel de Ulmo Colmenares Ralun Pote 250 g | Miel de Ulmo Colmenares Ralun Pote 500 g,miel_ulmo_colmenares_ralun_pote_sin,20508;20510
2,0.2kg;0.45kg,sin marca,formatos incompatibles,Miel Pura de Abejas Morelli 200 g | Miel Pura de Abejas Morelli 450 g,miel_pura_abejas_morelli_sin_marca,20549;20550
2,0.31l;0.35l,sin marca,formatos incompatibles,Pack 6 un. Bebida Crush Light 350 ml | Pack 6 un. Bebida Crush 310 cc,pack_6_un__bebida_crush_sin,20598;21162
3,0.31l;0.35l,sin marca,formatos incompatibles,Pack 6 un. Bebida Limón Soda 350 cc | Pack 6 un. Bebida Limón Soda Zero Lata 350 cc | Pack 6 un. Bebida Limón Soda Zero 310 ml,pack_6_un__bebida_limon_soda,20605;20608;21160
3,0.31l;0.35l,sin marca,formatos incompatibles,Pack 6 un. Bebida Canada Dry Ginger Ale Lata 350 ml | Pack 6 un. Bebida Canada Dry Ginger Ale Light Lata 310 ml | Pack 6 un. Bebida Canada Dry Ginger Ale Zero Lata 310 cc,pack_6_un__bebida_canada_dry,20609;21106;21159
2,0.31l;0.35l,sin marca,formatos incompatibles,Pack 6 un. Bebida Agua Tónica Canada Dry Zero 310 ml | Pack 6 un. Bebida Agua Tónica Canada Dry 350 ml,pack_6_un__bebida_agua_tonica,20610;20615
2,1.5l,coca cola;coca-cola,marcas distintas,Bebida Coca-Cola Zero 1.5 L | Bebida coca cola zero 1.5 l,bebida_coca_cola_zero_1_5l,20613;30319
2,1.5l,coca cola;coca-cola,marcas distintas,Bebida Coca-Cola Original 1.5 L | Bebida coca cola original 1.5 l,bebida_original_coca_cola_general_1_5l,20619;30632
2,0.6l;2l,sin marca,formatos incompatibles,Bebida H2Oh! Limonchelo 2 L | Bebida H2OH Limonchelo 600 cc,bebida_h2oh_limonchelo_sin_marca_general,20630;20871
3,0.6l;1.5l;2l,sin marca,formatos incompatibles,Bebida H2Oh Naranchelo 2 L | Bebida H2Oh Naranchelo 600 cc | Bebida H2Oh Naranchelo 1.5 L,bebida_h2oh_naranchelo_sin_marca_general,20631;20699;20805
2,0.6l;2l,sin marca,formatos incompatibles,Bebida H2Oh Limonata 2 L | Bebida H2Oh Limonata 600 cc,bebida_h2oh_limonata_sin_marca_general,20632;20803
7,0.35l;0.591l;1.25l;1.45l;1.5l;1.75l;3l,sin marca,formatos incompatibles,Bebida Sprite Sin Azucar 1.25 L | Bebida Sprite Sin Azúcar 1.5 L | Bebida Sprite Sin Azúcar 3 L | Bebida Sprite Sin Azúcar 591 ml | Bebida Sprite Sin Azúcar 1.45 L,bebida_sprite_azucar_sin_marca_general,20633;20641;20727;20769;21225;21278;21319
8,0.35l;0.591l;1.25l;1.45l;1.5l;1.75l;3l,sin marca,formatos incompatibles,Bebida Fanta Sin Azucar 1.25 L | Bebida Fanta Sin Azúcar 1.5 L | Bebida Fanta Sin Azúcar 3 L | Bebida Fanta Sin Azúcar 591 ml | Bebida Fanta Sin Azúcar 1.45 L,bebida_fanta_azucar_sin_marca_general,20635;20743;20776;20792;21224;21277;21320;30653
2,1.5l,coca cola;coca-cola,marcas distintas,Bebida Coca-Cola Light 1.5 L | Bebida coca cola light 1.5 l,bebida_coca_cola_light_1_5l,20637;30341
2,0.35l;0.473l,coca-cola,formatos incompatibles,Pack 6 un. Bebida Coca-Cola Zero Lata 350 cc | Pack 6 un. Bebida Coca-Cola Zero Lata 473 cc,pack_6_un__bebida_lata_coca,20639;20822
5,0.6l;1.25l;1.5l;1.75l;2l,sin marca,formatos incompatibles,Bebida Limón Soda Zero 1.75 L | Bebida Limón Soda Zero 600 ml | Bebida Limón Soda Zero 1.5 L | Bebida Limón Soda Zero 1.25 L | Bebida Limón Soda Zero 2 L,bebida_limon_soda_sin_marca_zero,20643;20735;20856;20889;21287
5,0.22l;0.25l;0.591l;1.5l;1.75l,sin marca,formatos incompatibles,Bebida Fanta Naranja 250 ml | Bebida Fanta Naranja 1.5 L | Bebida Fanta Naranja 591 ml | Bebida Fanta Naranja 220 ml | Bebida Fanta Naranja 1.75 L,bebida_fanta_naranja_sin_marca_general,20655;20689;20799;21125;21275
5,1.25l;1.45l;1.5l;1.75l;3l,sin marca,formatos incompatibles,Bebida Inca Kola 1.25 L | Bebida Inca Kola 3 L | Bebida Inca Kola 1.5 L | Bebida Inca Kola 1.45 L | Bebida Inca Kola 1.75 L,bebida_inca_kola_sin_marca_general,20656;20706;20713;21223;21274
8,0.35l;0.5l;0.6l;1.25l;1.5l;1.75l;3l,sin marca,formatos incompatibles,Bebida Limón Soda 1.75 L | Bebida Limón Soda 3 L | Bebida Limón Soda 1.5 L | Bebida Limón Soda 600 ml | Bebida Limón Soda 500 ml,bebida_limon_soda_sin_marca_general,20659;20681;20711;20841;21077;21100;21314;30601
3,0.22l;0.25l;0.35l,coca-cola,formatos incompatibles,Pack 6 un. Bebida Coca-Cola Original 350 cc | Pack 6 un. Bebida Coca-Cola Original 220 cc | Pack 6 un. Bebida Coca-Cola Original 250 cc,pack_6_un__bebida_original_coca,20665;20759;21105
3,0.35l;1.25l;1.5l,sin marca,formatos incompatibles,Bebida Ginger Ale Schweppes Sin Azúcar 1.25 L | Bebida Ginger Ale Schweppes Sin Azúcar 1.5 L | Bebida Ginger Ale Schweppes Sin Azúcar 350 ml,bebida_ginger_ale_schweppes_azucar_sin,20671;20757;21185
